timestamp,turbine_id,temperature_c,vibration_mm_s,rpm
15/04/2026 19:27,T-01,50,11.8,13.4
15/04/2026 19:28,T-10,78.7,8.2,13.4
15/04/2026 19:29,T-10,72.9,9,13.4
15/04/2026 19:30,T-06,60.3,9.6,14.7
15/04/2026 19:31,T-09,54.4,10.9,15.5
15/04/2026 19:32,T-08,65.7,3.6,15.1
15/04/2026 19:33,T-06,67.7,7.7,13.2
15/04/2026 19:34,T-01,56.3,4.1,13.9
15/04/2026 19:35,T-02,57.3,8.8,12.3
15/04/2026 19:36,T-04,92.5,9,14.9
15/04/2026 19:37,T-06,71.1,4.4,17.5
15/04/2026 19:38,T-07,74.7,23.6,12.6
15/04/2026 19:39,T-07,73.2,23.5,17.5
15/04/2026 19:40,T-07,74.4,19.7,16.2
15/04/2026 19:41,T-08,52.5,11.9,13.5
15/04/2026 19:42,T-07,72.4,24.1,16.4
15/04/2026 19:43,T-01,51.4,8.7,15.7
15/04/2026 19:44,T-09,50.4,9.2,15.5
15/04/2026 19:45,T-05,72.2,8.2,14.9
15/04/2026 19:46,T-08,69.5,4.8,13.3
15/04/2026 19:47,T-07,64.1,21.8,12.3
15/04/2026 19:48,T-10,62.5,10.9,14.1
15/04/2026 19:49,T-05,50.3,5,14.9
15/04/2026 19:50,T-03,52.1,8,16.9
15/04/2026 19:51,T-09,50,3.7,12.1
15/04/2026 19:52,T-07,74.7,23.4,14.1
15/04/2026 19:53,T-08,76.8,4.6,14.6
15/04/2026 19:54,T-05,72.7,2.4,12.3
15/04/2026 19:55,T-06,74.7,8.1,16.1
15/04/2026 19:56,T-10,54.3,8.7,12.6
15/04/2026 19:57,T-03,76.8,8.5,16.2
15/04/2026 19:58,T-10,79.5,4.4,13.5
15/04/2026 19:59,T-03,55.3,3,17.6
15/04/2026 20:00,T-03,56.4,7.9,13.6
15/04/2026 20:01,T-03,71.6,9.8,14.8
15/04/2026 20:02,T-09,63.1,3,13.3
15/04/2026 20:03,T-02,76,6.1,12.3
15/04/2026 20:04,T-06,77.5,5.3,13.5
15/04/2026 20:05,T-04,94.8,9.6,16.3
15/04/2026 20:06,T-02,61,11.7,17.7
15/04/2026 20:07,T-01,59.1,11.1,13.9
15/04/2026 20:08,T-01,73.8,4.6,17.4
15/04/2026 20:09,T-09,53.7,4.4,12.6
15/04/2026 20:10,T-04,92.8,5.3,13.2
15/04/2026 20:11,T-05,55.6,10.4,14.9
15/04/2026 20:12,T-01,61.4,3.3,16.4
15/04/2026 20:13,T-03,74.5,2.8,17.1
15/04/2026 20:14,T-01,52.8,9.5,13.4
15/04/2026 20:15,T-07,66.4,24.2,15.9
15/04/2026 20:16,T-05,79.1,7.3,14
15/04/2026 20:17,T-07,64.4,24.7,15.7
15/04/2026 20:18,T-01,57.6,5.7,15.1
15/04/2026 20:19,T-09,64.1,5.9,17.4
15/04/2026 20:20,T-10,77.2,2.4,14.1
15/04/2026 20:21,T-03,79.6,10.4,16.2
15/04/2026 20:22,T-05,58.4,8.7,15.9
15/04/2026 20:23,T-09,66.6,9.8,17.4
15/04/2026 20:24,T-07,74.8,20.7,15.4
15/04/2026 20:25,T-08,59.3,7.3,12.4
15/04/2026 20:26,T-10,75.1,6.3,14.3
15/04/2026 20:27,T-03,59.3,4.2,17.1
15/04/2026 20:28,T-04,94.8,8.9,12.7
15/04/2026 20:29,T-09,78.3,4.8,13.4
15/04/2026 20:30,T-05,51.9,6.8,13.2
15/04/2026 20:31,T-03,52.2,7.8,13.9
15/04/2026 20:32,T-04,91,7,17.6
15/04/2026 20:33,T-04,86.1,9.9,13.7
15/04/2026 20:34,T-08,50.1,6.2,17.7
15/04/2026 20:35,T-01,68.4,4.5,15.2
15/04/2026 20:36,T-07,73.1,20.5,12.6
15/04/2026 20:37,T-09,79.2,11.4,15.2
15/04/2026 20:38,T-08,54.8,4.2,16.9
15/04/2026 20:39,T-02,79.4,9.3,12.2
15/04/2026 20:40,T-04,90.3,9.8,12.3
15/04/2026 20:41,T-08,76.4,11,15
15/04/2026 20:42,T-08,79.2,8.6,15.4
15/04/2026 20:43,T-05,53.9,7.8,15
15/04/2026 20:44,T-09,50.3,11.3,15.8
15/04/2026 20:45,T-07,66.9,17.7,15.9
15/04/2026 20:46,T-07,72.9,20.6,16
15/04/2026 20:47,T-07,73.1,22.7,14.4
15/04/2026 20:48,T-08,59.5,8.3,17.1
15/04/2026 20:49,T-08,66.2,8.2,16.6
15/04/2026 20:50,T-04,91.6,6,16.3
15/04/2026 20:51,T-05,79.1,2.8,13.7
15/04/2026 20:52,T-04,91.3,9.7,16.4
15/04/2026 20:53,T-01,61.7,6,16.4
15/04/2026 20:54,T-02,70.4,8.7,14.3
15/04/2026 20:55,T-03,51.2,6.8,13.5
15/04/2026 20:56,T-06,61,9.6,13.2
15/04/2026 20:57,T-07,67.1,19.3,16.7
15/04/2026 20:58,T-07,70.8,17.5,13.6
15/04/2026 20:59,T-06,67.4,10.5,13.8
15/04/2026 21:00,T-10,60,8.3,12.5
15/04/2026 21:01,T-06,62.2,8.8,13.8
15/04/2026 21:02,T-08,60.4,11,17.8
15/04/2026 21:03,T-01,58.5,7.4,13.6
15/04/2026 21:04,T-05,58.1,10.2,16.9
15/04/2026 21:05,T-01,52.2,9.9,16.8
15/04/2026 21:06,T-02,77.8,2.4,14.4
15/04/2026 21:07,T-10,79,7.3,13.9
15/04/2026 21:08,T-04,88.9,9.6,12.2
15/04/2026 21:09,T-02,59.7,5.9,14.3
15/04/2026 21:10,T-03,79.1,10.5,12.9
15/04/2026 21:11,T-09,60.3,11.1,17.6
15/04/2026 21:12,T-09,53.9,5.4,18
15/04/2026 21:13,T-01,54.7,8.3,17.8
15/04/2026 21:14,T-04,86.3,9.6,12.3
15/04/2026 21:15,T-09,76,6.8,13.8
15/04/2026 21:16,T-02,62.9,5.1,14.8
15/04/2026 21:17,T-01,59.9,2.5,16.1
15/04/2026 21:18,T-10,68.1,11.7,17.4
15/04/2026 21:19,T-02,67.5,10.8,12.5
15/04/2026 21:20,T-07,73.4,19,13.6
15/04/2026 21:21,T-05,79.5,6.5,16
15/04/2026 21:22,T-04,90.6,5.8,13.6
15/04/2026 21:23,T-08,53.3,8.5,14
15/04/2026 21:24,T-07,65.3,20,12.4
15/04/2026 21:25,T-04,91.1,5.7,17.5
15/04/2026 21:26,T-05,67.4,3.7,13.1
15/04/2026 21:27,T-10,56.2,9.2,12.5
15/04/2026 21:28,T-07,61.2,22.3,16
15/04/2026 21:29,T-06,51.6,7,15.5
15/04/2026 21:30,T-10,56.8,7.1,13.4
15/04/2026 21:31,T-08,70,6.2,16.5
15/04/2026 21:32,T-01,58.7,6.1,14.3
15/04/2026 21:33,T-06,55.3,9.8,14.8
15/04/2026 21:34,T-07,68.7,18.6,16.4
15/04/2026 21:35,T-06,54.4,8.8,14.4
15/04/2026 21:36,T-07,67.2,20.7,14.9
15/04/2026 21:37,T-03,64.6,3.2,12.1
15/04/2026 21:38,T-01,59.2,4.4,18
15/04/2026 21:39,T-08,67,8,17.4
15/04/2026 21:40,T-09,54.1,7.1,13.9
15/04/2026 21:41,T-07,68.6,22,14.5
15/04/2026 21:42,T-04,90.5,8.7,16.2
15/04/2026 21:43,T-06,64.3,3.3,14.1
15/04/2026 21:44,T-02,63.9,6.8,17.5
15/04/2026 21:45,T-03,80,5.6,12.1
15/04/2026 21:46,T-10,51.5,4.9,13.7
15/04/2026 21:47,T-06,73.1,9.5,13.7
15/04/2026 21:48,T-09,69.3,8.1,14.3
15/04/2026 21:49,T-02,56,10.6,14.6
15/04/2026 21:50,T-01,66.4,5.3,14.9
15/04/2026 21:51,T-01,59.2,5.9,15.8
15/04/2026 21:52,T-03,75.5,10.5,14.5
15/04/2026 21:53,T-02,78.5,8.5,13.5
15/04/2026 21:54,T-06,59.2,6.4,15
15/04/2026 21:55,T-09,71.9,10.9,15.9
15/04/2026 21:56,T-08,79.4,9.1,15.2
15/04/2026 21:57,T-05,63.4,9.9,13.8
15/04/2026 21:58,T-09,59.5,7.8,14.9
15/04/2026 21:59,T-06,75.3,11,12.9
15/04/2026 22:00,T-03,57.1,10.9,15.3
15/04/2026 22:01,T-09,50.3,4.9,14.3
15/04/2026 22:02,T-02,64.8,10.7,16.6
15/04/2026 22:03,T-07,66.2,19.1,15.2
15/04/2026 22:04,T-02,52.4,11,17.2
15/04/2026 22:05,T-10,70.8,5.7,13.9
15/04/2026 22:06,T-02,67.8,9.5,16
15/04/2026 22:07,T-07,72.5,20.3,13.7
15/04/2026 22:08,T-05,74.9,9,13.9
15/04/2026 22:09,T-07,63.1,20.7,14
15/04/2026 22:10,T-10,69.9,6.5,12.1
15/04/2026 22:11,T-02,72.3,9.7,16.4
15/04/2026 22:12,T-08,79.2,11.1,17.8
15/04/2026 22:13,T-02,70.6,7.3,12.7
15/04/2026 22:14,T-08,80,9.6,13.2
15/04/2026 22:15,T-03,52,5.8,15.2
15/04/2026 22:16,T-01,79,7.6,15.2
15/04/2026 22:17,T-04,92,7.7,17
15/04/2026 22:18,T-04,86.4,7.7,13.5
15/04/2026 22:19,T-10,78.5,8.3,13.4
15/04/2026 22:20,T-03,60.4,3.8,12.3
15/04/2026 22:21,T-08,61.9,7.1,16.8
15/04/2026 22:22,T-03,67.5,5.1,13.3
15/04/2026 22:23,T-09,68,3.6,15.4
15/04/2026 22:24,T-03,74.4,2.2,12.9
15/04/2026 22:25,T-05,71.9,11.7,15.4
15/04/2026 22:26,T-06,78.7,3.9,13.6
15/04/2026 22:27,T-02,57.5,4.1,12.5
15/04/2026 22:28,T-08,53.2,2.7,13.2
15/04/2026 22:29,T-04,91.7,8.8,12.4
15/04/2026 22:30,T-07,71.4,18.7,13.4
15/04/2026 22:31,T-10,56.5,5,14.5
15/04/2026 22:32,T-09,67.8,6.2,15.3
15/04/2026 22:33,T-06,73.4,2.4,14.2
15/04/2026 22:34,T-10,66.1,6.7,15.6
15/04/2026 22:35,T-05,73.4,9.2,17.3
15/04/2026 22:36,T-04,88.9,9.5,17.8
15/04/2026 22:37,T-01,70,6.3,15.6
15/04/2026 22:38,T-01,77.4,9,15.6
15/04/2026 22:39,T-08,79.2,4.1,16.9
15/04/2026 22:40,T-10,70.1,11.1,16.5
15/04/2026 22:41,T-03,58,5.9,16.8
15/04/2026 22:42,T-01,50.5,8.9,14.1
15/04/2026 22:43,T-03,52.3,8.3,16.1
15/04/2026 22:44,T-06,79.6,6.7,17.3
15/04/2026 22:45,T-03,56,6.1,15.9
15/04/2026 22:46,T-08,67.8,4.4,16.6
15/04/2026 22:47,T-08,75.1,7.6,12.1
15/04/2026 22:48,T-07,63.9,21.3,15.8
15/04/2026 22:49,T-05,63.3,5.8,15.3
15/04/2026 22:50,T-03,72.7,3.8,15.5
15/04/2026 22:51,T-01,52.6,8.8,17.7
15/04/2026 22:52,T-02,67.4,4.1,12.2
15/04/2026 22:53,T-07,64.6,22.4,12.1
15/04/2026 22:54,T-07,72,23,15.5
15/04/2026 22:55,T-03,71.2,8.5,17.2
15/04/2026 22:56,T-04,86.5,6.2,16.9
15/04/2026 22:57,T-04,92.9,5.9,13.8
15/04/2026 22:58,T-03,73.5,6.2,14.4
15/04/2026 22:59,T-01,75.7,5.1,17.1
15/04/2026 23:00,T-02,58.2,2.6,17.9
15/04/2026 23:01,T-01,63.9,8.1,14.6
15/04/2026 23:02,T-03,62.5,9,13.7
15/04/2026 23:03,T-03,74.9,6,13.5
15/04/2026 23:04,T-10,60.4,3.3,17.2
15/04/2026 23:05,T-09,66.9,7.6,14.3
15/04/2026 23:06,T-06,73.1,9.6,18
15/04/2026 23:07,T-04,88.3,8.4,14.9
15/04/2026 23:08,T-03,56.4,7.3,15.2
15/04/2026 23:09,T-03,75.3,4.2,15.3
15/04/2026 23:10,T-02,62.1,9.8,13.8
15/04/2026 23:11,T-04,86.7,5.8,14.6
15/04/2026 23:12,T-06,57.6,3.7,12.1
15/04/2026 23:13,T-01,72.3,9.2,14.6
15/04/2026 23:14,T-10,51,9.7,12.2
15/04/2026 23:15,T-03,50.2,8.8,14.3
15/04/2026 23:16,T-02,63.4,8.1,14.6
15/04/2026 23:17,T-02,78.9,10.6,16.7
15/04/2026 23:18,T-02,68.3,8.6,13.9
15/04/2026 23:19,T-02,76.3,3.8,16.3
15/04/2026 23:20,T-03,66.9,8.5,15.1
15/04/2026 23:21,T-07,61.2,16.1,17.5
15/04/2026 23:22,T-05,60.5,4,13.3
15/04/2026 23:23,T-04,88.3,8.7,15.3
15/04/2026 23:24,T-09,58.3,4.3,15.2
15/04/2026 23:25,T-06,66.1,7.4,17.3
15/04/2026 23:26,T-06,60.9,5.8,15.5
15/04/2026 23:27,T-07,70.7,24.7,15.7
15/04/2026 23:28,T-04,93.7,5.2,15.3
15/04/2026 23:29,T-01,51.7,5.4,13.6
15/04/2026 23:30,T-04,90.5,6,12.2
15/04/2026 23:31,T-06,73.2,7.6,13.9
15/04/2026 23:32,T-02,72.1,7.8,14.4
15/04/2026 23:33,T-06,62.9,2.1,14.9
15/04/2026 23:34,T-03,59.9,4.7,16
15/04/2026 23:35,T-03,52.9,6.1,14.4
15/04/2026 23:36,T-02,50.8,8.8,16.2
15/04/2026 23:37,T-04,92.7,5.4,12
15/04/2026 23:38,T-06,50.8,7.8,15.7
15/04/2026 23:39,T-09,78.5,5.2,13.5
15/04/2026 23:40,T-05,68.3,11.4,13
15/04/2026 23:41,T-08,66.9,11.8,17.7
15/04/2026 23:42,T-03,63.1,3.6,12.4
15/04/2026 23:43,T-02,71.6,11.2,18
15/04/2026 23:44,T-03,62,9.8,14.3
15/04/2026 23:45,T-03,63.9,3.8,15
15/04/2026 23:46,T-02,74.5,7.7,14.4
15/04/2026 23:47,T-04,90.6,8.5,13
15/04/2026 23:48,T-03,70.3,11.5,12.6
15/04/2026 23:49,T-07,73.6,20.8,15.4
15/04/2026 23:50,T-05,63.7,11,12.2
15/04/2026 23:51,T-09,51.1,3.7,13.1
15/04/2026 23:52,T-01,57.9,10.9,14.3
15/04/2026 23:53,T-02,53.1,6.4,14.1
15/04/2026 23:54,T-06,71.6,6.8,17.2
15/04/2026 23:55,T-04,88.3,6,16.7
15/04/2026 23:56,T-01,72.1,11.6,15.1
15/04/2026 23:57,T-02,71.3,2.4,17.4
15/04/2026 23:58,T-08,55.2,11.1,13.1
15/04/2026 23:59,T-05,55.5,9.4,16.4
16/04/2026 00:00,T-03,62,7.1,14.8
16/04/2026 00:01,T-03,68.6,3.8,15.7
16/04/2026 00:02,T-03,55.1,2.3,18
16/04/2026 00:03,T-01,72.9,3.2,16.7
16/04/2026 00:04,T-09,57.4,4.5,15.2
16/04/2026 00:05,T-07,63.3,21.8,16
16/04/2026 00:06,T-03,57.2,10,12.6
16/04/2026 00:07,T-07,70.3,19.3,13.9
16/04/2026 00:08,T-08,63,7.9,15.6
16/04/2026 00:09,T-01,61.8,4,13.9
16/04/2026 00:10,T-02,68.3,4.9,17.3
16/04/2026 00:11,T-08,58.9,3.9,14.3
16/04/2026 00:12,T-02,70.2,4.3,16.2
16/04/2026 00:13,T-09,56,4.3,17.6
16/04/2026 00:14,T-08,55.9,5.1,16.6
16/04/2026 00:15,T-02,58.4,9.5,13
16/04/2026 00:16,T-02,79.2,8.8,12.5
16/04/2026 00:17,T-05,72.1,9.8,13.2
16/04/2026 00:18,T-08,71.3,11,14
16/04/2026 00:19,T-02,71.5,6.6,12.7
16/04/2026 00:20,T-09,63.1,2.2,16.7
16/04/2026 00:21,T-10,73.1,7.3,16.8
16/04/2026 00:22,T-10,72.8,3,13.5
16/04/2026 00:23,T-09,58.6,5.6,14.2
16/04/2026 00:24,T-05,66.3,11.1,17.6
16/04/2026 00:25,T-06,52.1,5.3,13.8
16/04/2026 00:26,T-06,67.9,5.6,16.5
16/04/2026 00:27,T-01,67.1,3.7,13.4
16/04/2026 00:28,T-08,65.3,7.5,12.1
16/04/2026 00:29,T-09,57.2,7.3,15.9
16/04/2026 00:30,T-08,77,10.1,15.2
16/04/2026 00:31,T-06,79.9,9.1,16
16/04/2026 00:32,T-09,64.4,5.4,12.6
16/04/2026 00:33,T-08,53.9,11.4,16.4
16/04/2026 00:34,T-09,69.2,3,13.3
16/04/2026 00:35,T-01,55,11,13.5
16/04/2026 00:36,T-09,79.9,8,12.7
16/04/2026 00:37,T-03,59.7,10.4,14.6
16/04/2026 00:38,T-09,53.3,6.7,15.1
16/04/2026 00:39,T-04,94.9,7.3,14.6
16/04/2026 00:40,T-05,66.5,9.8,15.9
16/04/2026 00:41,T-10,71.4,9.8,13.4
16/04/2026 00:42,T-06,71,8.1,12.4
16/04/2026 00:43,T-01,66.2,4.7,16.6
16/04/2026 00:44,T-04,92.2,6.5,12.2
16/04/2026 00:45,T-05,54.7,9.8,12
16/04/2026 00:46,T-03,61.4,11.5,16.4
16/04/2026 00:47,T-02,50.1,10.2,17.2
16/04/2026 00:48,T-08,73.5,2.1,12.8
16/04/2026 00:49,T-10,50.7,5,15.6
16/04/2026 00:50,T-03,78.8,5.8,17.6
16/04/2026 00:51,T-08,59.4,7.7,17.8
16/04/2026 00:52,T-07,68,22.3,17
16/04/2026 00:53,T-10,55.8,5.2,14
16/04/2026 00:54,T-08,58.7,10.5,16.3
16/04/2026 00:55,T-04,94.8,7,17.5
16/04/2026 00:56,T-02,59,11.3,12.5
16/04/2026 00:57,T-09,52.2,6.3,13.8
16/04/2026 00:58,T-04,93.8,5,14.5
16/04/2026 00:59,T-09,52.7,11.5,17.4
16/04/2026 01:00,T-07,68.4,18.9,18
16/04/2026 01:01,T-04,94.5,5.8,12.3
16/04/2026 01:02,T-06,60.3,2.4,15.9
16/04/2026 01:03,T-02,51.8,6.8,16.9
16/04/2026 01:04,T-06,75.9,3.8,15
16/04/2026 01:05,T-01,51.1,6.8,15.5
16/04/2026 01:06,T-09,60.8,11,16.7
16/04/2026 01:07,T-08,53.7,6.7,14.7
16/04/2026 01:08,T-07,72.5,17.3,17.8
16/04/2026 01:09,T-03,63,4,15.4
16/04/2026 01:10,T-10,64.3,2.8,15.4
16/04/2026 01:11,T-06,54.2,6.6,17.4
16/04/2026 01:12,T-01,57.4,3.2,14
16/04/2026 01:13,T-02,63.5,3.1,16.2
16/04/2026 01:14,T-06,61.8,8.6,14.5
16/04/2026 01:15,T-05,67.7,8.2,16.3
16/04/2026 01:16,T-09,66.8,4.9,16.9
16/04/2026 01:17,T-03,59.7,6.2,16.8
16/04/2026 01:18,T-04,86.5,5.1,13.4
16/04/2026 01:19,T-05,66.4,12,15.7
16/04/2026 01:20,T-10,58.6,2.4,14.5
16/04/2026 01:21,T-10,65.2,10.4,16.2
16/04/2026 01:22,T-07,65,19.4,17.9
16/04/2026 01:23,T-08,53.8,4.5,12.8
16/04/2026 01:24,T-01,58.2,5.6,15.1
16/04/2026 01:25,T-04,92.4,8.8,13.7
16/04/2026 01:26,T-08,55,2.5,12.3
16/04/2026 01:27,T-02,50.5,7.8,14.4
16/04/2026 01:28,T-08,55.9,9.5,17.7
16/04/2026 01:29,T-03,61.9,2.5,14.9
16/04/2026 01:30,T-10,52.9,3.9,15.4
16/04/2026 01:31,T-09,57.4,8.7,13.4
16/04/2026 01:32,T-07,62.4,23.5,16.6
16/04/2026 01:33,T-07,70.6,22.6,12.7
16/04/2026 01:34,T-01,64.3,4.5,16.1
16/04/2026 01:35,T-01,71.3,10,14.5
16/04/2026 01:36,T-10,76.1,4.6,13.5
16/04/2026 01:37,T-08,74.2,9,17.5
16/04/2026 01:38,T-01,53.5,2.4,14.2
16/04/2026 01:39,T-06,53.2,3.9,13.5
16/04/2026 01:40,T-06,67.5,3.9,16.2
16/04/2026 01:41,T-06,69.8,7.6,16.5
16/04/2026 01:42,T-02,61.8,11.1,13.8
16/04/2026 01:43,T-09,55.1,4.1,12.1
16/04/2026 01:44,T-09,76.6,7.8,17.8
16/04/2026 01:45,T-08,62.6,6.8,16.3
16/04/2026 01:46,T-04,93.2,6.6,13.6
16/04/2026 01:47,T-04,94.4,9.1,12.7
16/04/2026 01:48,T-10,51.2,7,12.5
16/04/2026 01:49,T-06,51,10.2,14.4
16/04/2026 01:50,T-07,61.8,23.9,16.7
16/04/2026 01:51,T-06,66.3,3.5,17.7
16/04/2026 01:52,T-04,87.6,9,14
16/04/2026 01:53,T-01,58.9,11.8,12.8
16/04/2026 01:54,T-10,71.1,2.7,15.5
16/04/2026 01:55,T-08,69.6,9.6,14.5
16/04/2026 01:56,T-05,58.9,7.5,13.7
16/04/2026 01:57,T-07,74.2,24.2,16.6
16/04/2026 01:58,T-07,62.6,17.2,17.6
16/04/2026 01:59,T-06,67,10.7,12.7
16/04/2026 02:00,T-07,70.9,16.5,17.2
16/04/2026 02:01,T-05,50.8,6,12
16/04/2026 02:02,T-10,79.5,2.7,15.2
16/04/2026 02:03,T-09,61.4,7.7,14.5
16/04/2026 02:04,T-10,62.3,4,16.8
16/04/2026 02:05,T-01,79.3,4,16.2
16/04/2026 02:06,T-01,76.6,10.2,16.5
16/04/2026 02:07,T-08,73.3,5.4,15.7
16/04/2026 02:08,T-08,64.7,11.5,15.8
16/04/2026 02:09,T-10,62.7,6.7,15.6
16/04/2026 02:10,T-06,50.9,8.7,17.3
16/04/2026 02:11,T-07,60.6,19.8,14.3
16/04/2026 02:12,T-09,66.8,4.5,17
16/04/2026 02:13,T-03,67.2,2.1,17.8
16/04/2026 02:14,T-02,70.7,8.7,16.1
16/04/2026 02:15,T-05,77.5,5.3,12.1
16/04/2026 02:16,T-03,79.5,3.9,15.9
16/04/2026 02:17,T-06,55.4,7.8,13.1
16/04/2026 02:18,T-09,70.9,7.7,13
16/04/2026 02:19,T-05,68.4,9.5,12
16/04/2026 02:20,T-01,74.1,10.9,15.1
16/04/2026 02:21,T-09,51.7,7.6,14.2
16/04/2026 02:22,T-04,92.8,9.4,13.2
16/04/2026 02:23,T-01,79.8,2.9,13.2
16/04/2026 02:24,T-04,87,5.4,13.7
16/04/2026 02:25,T-10,55.1,3.5,14.9
16/04/2026 02:26,T-07,70.7,22.5,16
16/04/2026 02:27,T-10,71.5,2.8,14.8
16/04/2026 02:28,T-04,92.6,8.8,14.5
16/04/2026 02:29,T-05,55.4,4.3,16.2
16/04/2026 02:30,T-09,56.8,6.9,12.1
16/04/2026 02:31,T-06,78.8,6.1,17.8
16/04/2026 02:32,T-03,74.7,8.5,16.2
16/04/2026 02:33,T-02,76.3,8.3,13.6
16/04/2026 02:34,T-04,92.1,6.4,16.9
16/04/2026 02:35,T-04,92.4,5.8,16.6
16/04/2026 02:36,T-10,51.8,3.3,14.6
16/04/2026 02:37,T-10,52.1,7.9,16.8
16/04/2026 02:38,T-07,72.2,18.5,12.7
16/04/2026 02:39,T-10,57.5,5.4,16.3
16/04/2026 02:40,T-08,65.7,2.3,15.3
16/04/2026 02:41,T-02,78.3,2.6,12.8
16/04/2026 02:42,T-04,86.2,5.5,13.7
16/04/2026 02:43,T-10,52,3.5,13.5
16/04/2026 02:44,T-01,57.5,5.9,13.5
16/04/2026 02:45,T-07,64.2,24.2,17.7
16/04/2026 02:46,T-04,94.6,5.7,13.1
16/04/2026 02:47,T-07,74.2,16.4,13.1
16/04/2026 02:48,T-09,55.4,4.3,15
16/04/2026 02:49,T-06,70.3,6.1,15.1
16/04/2026 02:50,T-03,59.8,3.8,15.1
16/04/2026 02:51,T-06,59.4,11.7,16.4
16/04/2026 02:52,T-02,62.7,11.9,12.7
16/04/2026 02:53,T-10,79.5,11.7,17.2
16/04/2026 02:54,T-05,59.5,5.5,16.5
16/04/2026 02:55,T-04,94.5,5.4,15.7
16/04/2026 02:56,T-05,68.4,2.6,15.9
16/04/2026 02:57,T-08,72.4,8.1,12.3
16/04/2026 02:58,T-05,79,11.1,15.6
16/04/2026 02:59,T-08,74.4,8,14.6
16/04/2026 03:00,T-02,66.3,11.8,17.6
16/04/2026 03:01,T-01,64.4,7.3,15.8
16/04/2026 03:02,T-03,62.3,9.8,13.9
16/04/2026 03:03,T-09,76,7.3,13.7
16/04/2026 03:04,T-04,88,9.3,17
16/04/2026 03:05,T-05,64,6,14
16/04/2026 03:06,T-08,69.9,3.6,12.2
16/04/2026 03:07,T-03,76.7,4.7,13.7
16/04/2026 03:08,T-06,53.1,6.2,14.3
16/04/2026 03:09,T-02,79.7,3.4,13
16/04/2026 03:10,T-06,74.8,2.3,12.8
16/04/2026 03:11,T-08,75.5,6.1,15.5
16/04/2026 03:12,T-10,52.9,6,13.8
16/04/2026 03:13,T-07,69.1,22.6,16.6
16/04/2026 03:14,T-06,79.9,7.2,13.8
16/04/2026 03:15,T-09,77,2.9,16.5
16/04/2026 03:16,T-05,55.4,4.7,18
16/04/2026 03:17,T-10,65,9.1,13.2
16/04/2026 03:18,T-05,65.7,2,16.6
16/04/2026 03:19,T-03,55.2,9.6,15
16/04/2026 03:20,T-09,74,9.3,12.1
16/04/2026 03:21,T-05,62.7,10.6,13.9
16/04/2026 03:22,T-09,60.8,9,13
16/04/2026 03:23,T-01,52.9,8,13.8
16/04/2026 03:24,T-05,58.4,7.5,14.4
16/04/2026 03:25,T-08,58.3,5.7,14.3
16/04/2026 03:26,T-03,65.1,6.4,12
16/04/2026 03:27,T-09,58.8,8.6,13.1
16/04/2026 03:28,T-10,54.8,11.9,18
16/04/2026 03:29,T-08,52.7,7.5,16.4
16/04/2026 03:30,T-09,51,10.4,15.3
16/04/2026 03:31,T-09,69.7,8,14.2
16/04/2026 03:32,T-02,57.8,12,12.1
16/04/2026 03:33,T-08,55.8,2.8,14.6
16/04/2026 03:34,T-07,73.6,17.5,16.9
16/04/2026 03:35,T-07,62.5,20.6,17.1
